ID_1	ISSN	ShortName	LongName	Year	SciSS	ISI_Category	ISI	ImpactFactor	IF_percentile	Citation_2yr	Article_2yr	Citation_ALL	Eigenfactor	EF_percentile	ArticleInfluence	AI_percentile	Citation_5yr	SelfCitation_5yr	Article_5yr	Notes	ID_2	RowUpdate	CatName	CatID	Price	Country	First_Pub	Publisher	normPrice	CE	EFn
NULL	1012-8255	ACAD-REV LATINOAM AD	Academia-Revista Latinoamericana de Administracion	2014	SS	DI PC	ISI	NULL	NULL	NULL	NULL	NULL	0.000120451	0.0359821	0.0824525	0.0683036	23	NULL	92	NULL	0	2016-02-10 17:40:35	MARKETING	122	0.00		0		NULL	NULL	0.0134905
NULL	0044-586X	ACAROLOGIA	ACAROLOGIA	2014	NULL	IY	ISI	NULL	NULL	NULL	NULL	NULL	0.000606499	0.199286	0.616055	0.59	101	NULL	62	NULL	0	2016-02-10 17:40:35	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0679279
NULL	0001-4575	ACCIDENT ANAL PREV	ACCIDENT ANALYSIS AND PREVENTION	2014	SS	JI NE WU YQ	ISI	NULL	NULL	NULL	NULL	NULL	0.0191891	0.91	0.813236	0.713393	2750	NULL	1486	NULL	0	2016-02-10 17:40:35	TRANSPORTATION	74	2104.00	United-Kingdom	1969	Pergamon	NULL	NULL	2.14918
NULL	0951-3574	ACCOUNT AUDIT ACCOUN	Accounting Auditing & Accountability Journal	2014	NULL	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.00170893	0.442321	0.66434	0.623036	207	NULL	162	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	NULL	NULL	NULL	NULL	NULL	NULL	0.1914
NULL	0001-4788	ACCOUNT BUS RES	ACCOUNTING AND BUSINESS RESEARCH	2014	SS	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.000694711	0.224554	0.387175	0.396518	98	NULL	113	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	0.00		0		NULL	NULL	0.0778076
NULL	0810-5391	ACCOUNT FINANC	Accounting and Finance	2014	SS	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.000880846	0.276786	0.237064	0.236786	159	NULL	234	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	597.00		0		NULL	NULL	0.0986548
NULL	0888-7993	ACCOUNT HORIZ	Accounting Horizons	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00145891	0.400804	0.629299	0.599464	159	NULL	146	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	0.00		0		NULL	NULL	0.163398
NULL	0361-3682	ACCOUNT ORG SOC	ACCOUNTING ORGANIZATIONS AND SOCIETY	2014	SS	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.00417688	0.662321	1.35591	0.878929	518	NULL	194	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	2356.00	United-Kingdom	1976	Pergamon	NULL	NULL	0.467811
NULL	0898-9621	ACCOUNT RES	Accountability in Research-Policies and Quality Assurance	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.000415509	0.138929	0.254053	0.254911	60	NULL	103	NULL	0	2016-02-10 17:40:35	MEDICINE	2	0.00		0		NULL	NULL	0.046537
NULL	0001-4826	ACCOUNT REV	ACCOUNTING REVIEW	2014	SS	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.00964413	0.822411	1.6918	0.918482	888	NULL	359	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	375.00	United-States	1926	American-Accounting-Association	NULL	NULL	1.08014
NULL	0001-4842	ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH	2014	Sci	A3	ISI	NULL	NULL	NULL	NULL	NULL	0.114352	0.990893	7.57262	0.992589	22786	NULL	951	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	702.00	United-States	1968	American-Chemical-Society	NULL	NULL	12.8075
NULL	0949-1775	ACCREDIT QUAL ASSUR	ACCREDITATION AND QUALITY ASSURANCE	2014	Sci	EA OA	ISI	NULL	NULL	NULL	NULL	NULL	0.00101088	0.310089	0.199568	0.193482	190	NULL	319	NULL	0	2016-02-10 17:40:35	NULL	0	582.00	Germany	1996	Springer-Verlag	NULL	NULL	0.113219
NULL	0889-325X	ACI MATER J	ACI MATERIALS JOURNAL	2014	Sci	FA B1	ISI	NULL	NULL	NULL	NULL	NULL	0.00294183	0.578304	0.55139	0.542321	373	NULL	336	NULL	0	2016-02-10 17:40:35	STRUCTURAL ENGINEERING	11	650.00	United-States	1929	American-Concrete-Institute	NULL	NULL	0.329484
NULL	0889-3241	ACI STRUCT J	ACI STRUCTURAL JOURNAL	2014	Sci	FA IM B1	ISI	NULL	NULL	NULL	NULL	NULL	0.00398526	0.651964	0.633785	0.6025	440	NULL	396	NULL	0	2016-02-10 17:40:35	STRUCTURAL ENGINEERING	11	650.00	United-States	1929	American-Concrete-Institute	NULL	NULL	0.446349
NULL	0360-0300	ACM COMPUT SURV	ACM COMPUTING SURVEYS	2014	Sci	EX	ISI	NULL	NULL	NULL	NULL	NULL	0.00892403	0.810268	3.21147	0.970893	752	NULL	175	NULL	0	2016-02-10 17:40:35	NULL	0	178.00	United-States	1969	Association-for-Computing-Machinery,-Inc	NULL	NULL	0.999492
NULL	1550-4832	ACM J EMERG TECH COM	ACM Journal on Emerging Technologies in Computing Systems	2014	Sci	ES IQ NS	ISI	NULL	NULL	NULL	NULL	NULL	0.00062966	0.205893	0.377658	0.386696	72	NULL	105	NULL	0	2016-02-10 17:40:35	CIRCUITS	24	128.00		0		NULL	NULL	0.0705219
NULL	0146-4833	ACM SIGCOMM COMP COM	ACM SIGCOMM Computer Communication Review	2014	NULL	ET	ISI	NULL	NULL	NULL	NULL	NULL	0.0127263	0.860446	1.43632	0.890179	911	NULL	558	NULL	0	2016-02-10 17:40:35	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	1.42535
NULL	0362-1340	ACM SIGPLAN NOTICES	ACM SIGPLAN NOTICES	2014	Sci	A7	ISI	NULL	NULL	NULL	NULL	NULL	0.0149697	0.881161	0.549066	0.539821	950	NULL	1717	NULL	0	2016-02-10 17:40:35	NULL	0	25.00		0		NULL	NULL	1.67661
NULL	1549-6325	ACM T ALGORITHMS	ACM Transactions on Algorithms	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00327262	0.602946	0.903945	0.757232	148	NULL	228	NULL	0	2016-02-10 17:40:35	COMPUTER SCIENCE	26	0.00		0		NULL	NULL	0.366534
NULL	1544-3558	ACM T APPL PERCEPT	ACM Transactions on Applied Perception	2014	Sci	A7	ISI	NULL	NULL	NULL	NULL	NULL	0.00124145	0.360893	0.615611	0.589464	133	NULL	127	NULL	0	2016-02-10 17:40:35	NULL	0	132.00		0		NULL	NULL	0.139042
NULL	1544-3566	ACM T ARCHIT CODE OP	ACM Transactions on Architecture and Code Optimization	2014	Sci	ES EX	ISI	NULL	NULL	NULL	NULL	NULL	0.000685463	0.221161	0.204589	0.199375	71	NULL	211	NULL	0	2016-02-10 17:40:35	NULL	0	132.00		0		NULL	NULL	0.0767719
NULL	1556-4665	ACM T AUTON ADAP SYS	ACM Transactions on Autonomous and Adaptive Systems	2014	Sci	EP ET EX	ISI	NULL	NULL	NULL	NULL	NULL	0.000818148	0.26	0.451968	0.457054	98	NULL	114	NULL	0	2016-02-10 17:40:35	NULL	0	124.00		0		NULL	NULL	0.0916326
NULL	1529-3785	ACM T COMPUT LOG	ACM Transactions on Computational Logic	2014	Sci	EX	ISI	NULL	NULL	NULL	NULL	NULL	0.00176787	0.450982	0.737316	0.672857	79	NULL	151	NULL	0	2016-02-10 17:40:35	NULL	0	154.00		0		NULL	NULL	0.198001
NULL	0734-2071	ACM T COMPUT SYST	ACM TRANSACTIONS ON COMPUTER SYSTEMS	2014	Sci	EX	ISI	NULL	NULL	NULL	NULL	NULL	0.000560591	0.184464	0.666118	0.624107	37	NULL	53	NULL	0	2016-02-10 17:40:35	NULL	0	187.00	United-States	1983	Association-for-Computing-Machinery,-Inc	NULL	NULL	0.0627862
NULL	1073-0516	ACM T COMPUT-HUM INT	ACM Transactions on Computer-Human Interaction	2014	Sci	ER ET	ISI	NULL	NULL	NULL	NULL	NULL	0.00111465	0.333482	0.575384	0.559286	131	NULL	122	NULL	0	2016-02-10 17:40:35	NULL	0	136.00		0		NULL	NULL	0.12484
NULL	0362-5915	ACM T DATABASE SYST	ACM TRANSACTIONS ON DATABASE SYSTEMS	2014	Sci	ET A7	ISI	NULL	NULL	NULL	NULL	NULL	0.0018924	0.469286	0.889385	0.750982	125	NULL	134	NULL	0	2016-02-10 17:40:35	NULL	0	186.00	United-States	1976	Association-for-Computing-Machinery,-Inc	NULL	NULL	0.211949
NULL	1084-4309	ACM T DES AUTOMAT EL	ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS	2014	Sci	ES A7	ISI	NULL	NULL	NULL	NULL	NULL	0.00151093	0.409643	0.380613	0.388661	124	NULL	250	NULL	0	2016-02-10 17:40:35	CIRCUITS	24	205.00	United-States	1996	Association-for-Computing-Machinery,-Inc	NULL	NULL	0.169224
NULL	1539-9087	ACM T EMBED COMPUT S	ACM Transactions on Embedded Computing Systems	2014	Sci	ES A7	ISI	NULL	NULL	NULL	NULL	NULL	0.00169532	0.439464	0.324516	0.329286	127	NULL	329	NULL	0	2016-02-10 17:40:35	NULL	0	140.00		0		NULL	NULL	0.189875
NULL	0730-0301	ACM T GRAPHIC	ACM TRANSACTIONS ON GRAPHICS	2014	Sci	A7	ISI	NULL	NULL	NULL	NULL	NULL	0.0289894	0.94375	1.87632	0.929643	2479	NULL	973	NULL	0	2016-02-10 17:40:35	NULL	0	187.00	United-States	1982	Association-for-Computing-Machinery,-Inc	NULL	NULL	3.24682
NULL	1046-8188	ACM T INFORM SYST	ACM TRANSACTIONS ON INFORMATION SYSTEMS	2014	Sci	ET	ISI	NULL	NULL	NULL	NULL	NULL	0.00118673	0.349554	0.655585	0.617232	128	NULL	114	NULL	0	2016-02-10 17:40:35	NULL	0	180.00	United-States	1983	Association-for-Computing-Machinery,-Inc	NULL	NULL	0.132914
NULL	1094-9224	ACM T INFORM SYST SE	ACM Transactions on Information and System Security	2014	Sci	ET	ISI	NULL	NULL	NULL	NULL	NULL	0.00146288	0.401339	0.877407	0.745714	109	NULL	105	NULL	0	2016-02-10 17:40:35	NULL	0	156.00		0		NULL	NULL	0.163843
NULL	2157-6904	ACM T INTEL SYST TEC	ACM Transactions on Intelligent Systems and Technology	2014	NULL	EP	ISI	NULL	NULL	NULL	NULL	NULL	0.0100411	0.827768	3.16178	0.970089	1200	NULL	200	NULL	0	2016-02-10 17:40:35	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	1.1246
NULL	1533-5399	ACM T INTERNET TECHN	ACM Transactions on Internet Technology	2014	Sci	ET A7	ISI	NULL	NULL	NULL	NULL	NULL	0.000890357	0.278929	0.849574	0.733839	64	NULL	66	NULL	0	2016-02-10 17:40:35	NULL	0	148.00		0		NULL	NULL	0.09972
NULL	1556-4681	ACM T KNOWL DISCOV D	ACM Transactions on Knowledge Discovery from Data	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00221649	0.511339	1.45404	0.892768	189	NULL	96	NULL	0	2016-02-10 17:40:35	NULL	0	0.00		0		NULL	NULL	0.248247
