ID_1	ISSN	ShortName	LongName	Year	SciSS	ISI_Category	ISI	ImpactFactor	IF_percentile	Citation_2yr	Article_2yr	Citation_ALL	Eigenfactor	EF_percentile	ArticleInfluence	AI_percentile	Citation_5yr	SelfCitation_5yr	Article_5yr	Notes	ID_2	RowUpdate	CatName	CatID	Price	Country	First_Pub	Publisher	normPrice	CE	EFn
NULL	0008-3658	CAN GEOGR-GEOGR CAN	CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN	2014	SS	KU	ISI	NULL	NULL	NULL	NULL	NULL	0.000884928	0.277946	0.364248	0.374375	132	NULL	153	NULL	0	2016-02-10 17:40:35	NULL	0	360.00	United-States	1951	Blackwell-Publishing,-Inc	NULL	NULL	0.0991119
NULL	0008-3674	CAN GEOTECH J	CANADIAN GEOTECHNICAL JOURNAL	2014	Sci	IX A5	ISI	NULL	NULL	NULL	NULL	NULL	0.00616324	0.7425	0.703155	0.649286	620	NULL	552	NULL	0	2016-02-10 17:40:35	GEOTECHNOLOGY	77	675.00	Canada	1963	Canadian Science Publishing (NRC Research Press)	NULL	NULL	0.690283
NULL	Jul-51	CAN HIST REV	CANADIAN HISTORICAL REVIEW	2014	NULL	MM	ISI	NULL	NULL	NULL	NULL	NULL	0.000204394	0.0658929	0.131348	0.1175	11	NULL	98	NULL	0	2016-02-10 17:40:35	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0228921
NULL	0825-0383	CAN J ADM SCI	CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES D	2014	SS	DI PC	ISI	NULL	NULL	NULL	NULL	NULL	0.000464421	0.153482	0.218267	0.215	80	NULL	134	NULL	0	2016-02-10 17:40:35	MARKETING	122	306.00	Canada	1984	Dalhousie-University--	NULL	NULL	0.0520152
NULL	0714-9808	CAN J AGING	CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT	2014	SS	LJ	ISI	NULL	NULL	NULL	NULL	NULL	0.00101915	0.312232	0.332554	0.340089	179	NULL	193	NULL	0	2016-02-10 17:40:35	MEDICINE	2	0.00	Canada	1982	The-Canadian-Association-on-Gerontology	NULL	NULL	0.114145
NULL	0008-3976	CAN J AGR ECON	CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE	2014	Sci SS	AF	ISI	NULL	NULL	NULL	NULL	NULL	0.000975831	0.302857	0.426769	0.432321	139	NULL	144	NULL	0	2016-02-10 17:40:35	ECONOMICS	5	305.00	United-States	1952	Blackwell-Publishing,-Inc	NULL	NULL	0.109293
NULL	0832-610X	CAN J ANESTH	Canadian Journal of Anesthesia-Journal canadien d anesthesie	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00624399	0.745357	0.79762	0.705714	1124	NULL	493	NULL	0	2016-02-10 17:40:35	MEDICINE	2	502.00		0		NULL	NULL	0.699326
NULL	0008-3984	CAN J ANIM SCI	CANADIAN JOURNAL OF ANIMAL SCIENCE	2014	Sci	AD	ISI	NULL	NULL	NULL	NULL	NULL	0.00170655	0.441607	0.355872	0.366964	313	NULL	302	NULL	0	2016-02-10 17:40:35	VETERINARY	38	345.00	Canada	1921	Agricultural-Institute-of-Canada	NULL	NULL	0.191134
NULL	0008-400X	CAN J BEHAV SCI	CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU CO	2014	SS	VJ	ISI	NULL	NULL	NULL	NULL	NULL	0.0011689	0.345536	0.465911	0.469107	183	NULL	158	NULL	0	2016-02-10 17:40:35	PSYCHOLOGY	4	326.00		0		NULL	NULL	0.130917
NULL	0828-282X	CAN J CARDIOL	CANADIAN JOURNAL OF CARDIOLOGY	2014	Sci	DQ	ISI	NULL	NULL	NULL	NULL	NULL	0.01253	0.858571	1.24073	0.859643	1946	NULL	636	NULL	0	2016-02-10 17:40:35	MEDICINE	2	300.00	Canada	1985	Pulsus-Group-Inc	NULL	NULL	1.40336
NULL	0008-4042	CAN J CHEM	CANADIAN JOURNAL OF CHEMISTRY	2014	Sci	A3	ISI	NULL	NULL	NULL	NULL	NULL	0.00343165	0.61375	0.25882	0.259911	815	NULL	835	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	1310.00	Canada	1929	Canadian Science Publishing (NRC Research Press)	NULL	NULL	0.384345
NULL	0008-4034	CAN J CHEM ENG	CANADIAN JOURNAL OF CHEMICAL ENGINEERING	2014	Sci	II	ISI	NULL	NULL	NULL	NULL	NULL	0.00379163	0.639375	0.310918	0.316518	858	NULL	768	NULL	0	2016-02-10 17:40:35	NULL	0	855.00	Canada	1944	Canadian-Society-for-Chemical-Engineering	NULL	NULL	0.424663
NULL	0315-1468	CAN J CIVIL ENG	CANADIAN JOURNAL OF CIVIL ENGINEERING	2014	Sci	IM	ISI	NULL	NULL	NULL	NULL	NULL	0.00235623	0.525179	0.210779	0.206696	328	NULL	704	NULL	0	2016-02-10 17:40:35	STRUCTURAL ENGINEERING	11	845.00	Canada	1973	Canadian Science Publishing (NRC Research Press)	NULL	NULL	0.263898
NULL	1707-7753	CAN J CRIMINOL CRIM	CANADIAN JOURNAL OF CRIMINOLOGY AND CRIMINAL JUSTICE	2014	SS	FE	ISI	NULL	NULL	NULL	NULL	NULL	0.000351962	0.117768	0.197906	0.191518	45	NULL	112	NULL	0	2016-02-10 17:40:35	CRIMINOLOGY	68	175.00	Canada	1958	Canadian-Criminal-Justice-Association	NULL	NULL	0.0394197
NULL	0225-5189	CAN J DEV STUD	CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELO	2014	SS	UQ	ISI	NULL	NULL	NULL	NULL	NULL	0.00073944	0.237232	0.254468	0.255446	89	NULL	183	NULL	0	2016-02-10 17:40:35	POLITICAL SCIENCE	15	110.00	Canada	1980	Institute-for-International-Development-and-Cooperation	NULL	NULL	0.0828173
NULL	1499-2671	CAN J DIABETES	Canadian Journal of Diabetes	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00150015	0.407679	0.435368	0.44	270	NULL	217	NULL	0	2016-02-10 17:40:35	MEDICINE	2	0.00		0		NULL	NULL	0.168017
NULL	1486-3847	CAN J DIET PRACT RES	CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH	2014	Sci	SA	ISI	NULL	NULL	NULL	NULL	NULL	0.000689273	0.222411	0.280053	0.285089	120	NULL	155	NULL	0	2016-02-10 17:40:35	MEDICINE	2	100.00	Canada	1939	Dietitians-of-Canada	NULL	NULL	0.0771986
NULL	0008-4077	CAN J EARTH SCI	CANADIAN JOURNAL OF EARTH SCIENCES	2014	Sci	A5	ISI	NULL	NULL	NULL	NULL	NULL	0.00386999	0.644107	0.629767	0.6	553	NULL	387	NULL	0	2016-02-10 17:40:35	NULL	0	1150.00	Canada	1963	Canadian Science Publishing (NRC Research Press)	NULL	NULL	0.433439
NULL	0008-4085	CAN J ECON	CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE	2014	SS	GY	ISI	NULL	NULL	NULL	NULL	NULL	0.00359653	0.624196	0.721332	0.6625	260	NULL	314	NULL	0	2016-02-10 17:40:35	ECONOMICS	5	245.00	United-States	1968	Blackwell-Publishing,-Inc	NULL	NULL	0.402811
NULL	0840-8688	CAN J ELECT COMPUT E	CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE	2014	Sci	ES IQ	ISI	NULL	NULL	NULL	NULL	NULL	0.0000882	0.0257143	0.108852	0.0947321	13	NULL	51	NULL	0	2016-02-10 17:40:35	POWER SYSTEMS	61	90.00	Canada	1965	I-E-E-E-	NULL	NULL	0.0098784
NULL	1481-8035	CAN J EMERG MED	Canadian Journal of Emergency Medicine	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00184404	0.462768	0.485908	0.48625	270	NULL	239	NULL	0	2016-02-10 17:40:35	MEDICINE	2	0.00		0		NULL	NULL	0.206533
NULL	1196-1961	CAN J EXP PSYCHOL	CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE	2014	SS	VX	ISI	NULL	NULL	NULL	NULL	NULL	0.00158969	0.422589	0.658642	0.619464	211	NULL	152	NULL	0	2016-02-10 17:40:35	PSYCHOLOGY	4	326.00	Canada	1947	Canadian-Psychological-Association	NULL	NULL	0.178045
NULL	0706-652X	CAN J FISH AQUAT SCI	CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES	2014	Sci	JU PI	ISI	NULL	NULL	NULL	NULL	NULL	0.0129718	0.862768	0.970221	0.780357	2110	NULL	842	NULL	0	2016-02-10 17:40:35	ECOLOGY AND EVOLUTION	6	1180.00	Canada	1901	Canadian Science Publishing (NRC Research Press)	NULL	NULL	1.45285
NULL	0045-5067	CAN J FOREST RES	CANADIAN JOURNAL OF FOREST RESEARCH	2014	Sci	KA	ISI	NULL	NULL	NULL	NULL	NULL	0.0100137	0.827411	0.654179	0.616339	1844	NULL	964	NULL	0	2016-02-10 17:40:35	ECOLOGY AND EVOLUTION	6	1120.00	Canada	1970	Canadian Science Publishing (NRC Research Press)	NULL	NULL	1.12153
NULL	0835-7900	CAN J GASTROENTEROL	Canadian Journal of Gastroenterology and Hepatology	2014	Sci	KI	ISI	NULL	NULL	NULL	NULL	NULL	0.00328469	0.604018	0.551626	0.542768	670	NULL	375	NULL	0	2016-02-10 17:40:35	GASTROENTEROLOGY	91	320.00	Canada	1987	Pulsus-Group-Inc	NULL	NULL	0.367886
NULL	1712-9532	CAN J INFECT DIS MED	Canadian Journal of Infectious Diseases & Medical Microbiology	2014	Sci	NN QU	ISI	NULL	NULL	NULL	NULL	NULL	0.000917014	0.287232	0.331901	0.339375	164	NULL	174	NULL	0	2016-02-10 17:40:35	INFECTIOUS DISEASES	118	0.00		0		NULL	NULL	0.102706
NULL	1195-096X	CAN J INFORM LIB SCI	CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SC	2014	SS	NU	ISI	NULL	NULL	NULL	NULL	NULL	0.000185983	0.0584821	0.167323	0.157232	24	NULL	70	NULL	0	2016-02-10 17:40:35	INFORMATION SCIENCE	50	120.00		0		NULL	NULL	0.0208301
NULL	0008-414X	CAN J MATH	CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES	2014	Sci	PQ	ISI	NULL	NULL	NULL	NULL	NULL	0.00486775	0.694375	1.00182	0.791429	198	NULL	306	NULL	0	2016-02-10 17:40:35	MATHEMATICS	8	812.00	Canada	1945	Canadian-Mathematical-Society	NULL	NULL	0.545188
NULL	0008-4166	CAN J MICROBIOL	CANADIAN JOURNAL OF MICROBIOLOGY	2014	Sci	CQ DB NI QU	ISI	NULL	NULL	NULL	NULL	NULL	0.0040569	0.655982	0.37517	0.384196	891	NULL	681	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	815.00	Canada	1954	Canadian Science Publishing (NRC Research Press)	NULL	NULL	0.454372
NULL	0317-1671	CAN J NEUROL SCI	CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES	2014	Sci	RT	ISI	NULL	NULL	NULL	NULL	NULL	0.00445042	0.675446	0.456472	0.461786	786	NULL	614	NULL	0	2016-02-10 17:40:35	NEUROSCIENCE	20	168.00	Canada	1974	Canadian-Journal-of-Neurological-Sciences,-Inc	NULL	NULL	0.498447
NULL	0008-4174	CAN J OCCUP THER	Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.000832682	0.265268	0.329809	0.336518	163	NULL	159	NULL	0	2016-02-10 17:40:35	SPORTS MEDICINE	59	0.00		0		NULL	NULL	0.0932604
NULL	0008-4182	CAN J OPHTHALMOL	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	2014	Sci	SU	ISI	NULL	NULL	NULL	NULL	NULL	0.00252317	0.540982	0.39925	0.406875	493	NULL	398	NULL	0	2016-02-10 17:40:35	OPHTHALMOLOGY	44	150.00	Canada	1948	Canadian-Ophthalmological-Society	NULL	NULL	0.282595
NULL	0008-4204	CAN J PHYS	CANADIAN JOURNAL OF PHYSICS	2014	Sci	A6	ISI	NULL	NULL	NULL	NULL	NULL	0.00300484	0.58375	0.265036	0.267411	505	NULL	714	NULL	0	2016-02-10 17:40:35	HIGH ENERGY PHYSICS	22	750.00	Canada	1929	Canadian Science Publishing (NRC Research Press)	NULL	NULL	0.336543
NULL	0008-4212	CAN J PHYSIOL PHARM	CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY	2014	Sci	TU UM	ISI	NULL	NULL	NULL	NULL	NULL	0.0048499	0.693929	0.459987	0.464286	1152	NULL	664	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	915.00	Canada	1929	Canadian Science Publishing (NRC Research Press)	NULL	NULL	0.543189
NULL	0706-0661	CAN J PLANT PATHOL	CANADIAN JOURNAL OF PLANT PATHOLOGY	2014	Sci	DE	ISI	NULL	NULL	NULL	NULL	NULL	0.00135293	0.38125	0.330245	0.337321	261	NULL	258	NULL	0	2016-02-10 17:40:35	PLANT BIOLOGY	14	290.70	Canada	1979	Canadian-Phytopathological-Society	NULL	NULL	0.151528
NULL	0008-4220	CAN J PLANT SCI	CANADIAN JOURNAL OF PLANT SCIENCE	2014	Sci	A1 DE	ISI	NULL	NULL	NULL	NULL	NULL	0.00231638	0.521071	0.267177	0.270804	442	NULL	546	NULL	0	2016-02-10 17:40:35	PLANT BIOLOGY	14	345.00	Canada	1921	Agricultural-Institute-of-Canada	NULL	NULL	0.259435
NULL	1195-2199	CAN J PLAST SURG	Canadian Journal of Plastic Surgery	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.000642028	0.209196	0.235075	0.234643	98	NULL	172	NULL	0	2016-02-10 17:40:35	PLASTIC SURGERY	124	0.00		0		NULL	NULL	0.0719071
NULL	0008-4239	CAN J POLIT SCI	CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE	2014	SS	UU	ISI	NULL	NULL	NULL	NULL	NULL	0.00105128	0.318839	0.354046	0.365089	92	NULL	187	NULL	0	2016-02-10 17:40:35	POLITICAL SCIENCE	15	115.00		0		NULL	NULL	0.117744
NULL	0706-7437	CAN J PSYCHIAT	CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE	2014	Sci SS	VE	ISI	NULL	NULL	NULL	NULL	NULL	0.00696865	0.765982	0.977425	0.783304	1296	NULL	449	NULL	0	2016-02-10 17:40:35	PSYCHIATRY	108	247.00	Canada	1956	Canadian-Psychiatric-Association	NULL	NULL	0.780489
NULL	0008-4263	CAN J PUBLIC HEALTH	CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE	2014	SS	NE	ISI	NULL	NULL	NULL	NULL	NULL	0.00388092	0.644911	0.54313	0.533125	670	NULL	450	NULL	0	2016-02-10 17:40:35	MEDICINE	2	129.00	Canada	1910	Canadian-Public-Health-Association	NULL	NULL	0.434663
NULL	1712-7971	CAN J REMOTE SENS	CANADIAN JOURNAL OF REMOTE SENSING	2014	Sci	SR	ISI	NULL	NULL	NULL	NULL	NULL	0.00215018	0.502589	0.454401	0.459732	418	NULL	298	NULL	0	2016-02-10 17:40:35	NULL	0	209.00		0		NULL	NULL	0.24082
NULL	0318-6431	CAN J SOCIOL	CANADIAN JOURNAL OF SOCIOLOGY-CAHIERS CANADIENS DE SOCIOLOGIE	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00034448	0.114286	0.238399	0.238661	41	NULL	91	NULL	0	2016-02-10 17:40:35	SOCIOLOGY	19	0.00	Canada	1975	University-of-Toronto-Press--	NULL	NULL	0.0385818
NULL	0008-4271	CAN J SOIL SCI	CANADIAN JOURNAL OF SOIL SCIENCE	2014	Sci	A4	ISI	NULL	NULL	NULL	NULL	NULL	0.0021653	0.504286	0.410734	0.416786	383	NULL	332	NULL	0	2016-02-10 17:40:35	PLANT BIOLOGY	14	345.00	Canada	1921	Agricultural-Institute-of-Canada	NULL	NULL	0.242513
NULL	0319-5724	CAN J STAT	CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE	2014	Sci	XY	ISI	NULL	NULL	NULL	NULL	NULL	0.00235774	0.525357	0.713862	0.656786	151	NULL	208	NULL	0	2016-02-10 17:40:35	NULL	0	349.00	Canada	1973	Statistical-Society-of-Canada	NULL	NULL	0.264067
NULL	0008-428X	CAN J SURG	CANADIAN JOURNAL OF SURGERY	2014	Sci	YA	ISI	NULL	NULL	NULL	NULL	NULL	0.00402011	0.654464	0.553991	0.544286	694	NULL	457	NULL	0	2016-02-10 17:40:35	GASTROENTEROLOGY	91	0.00	Canada	1957	Canadian-Medical-Association	NULL	NULL	0.450252
NULL	1195-9479	CAN J UROL	Canadian Journal of Urology	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00186532	0.465804	0.273191	0.277232	326	NULL	430	NULL	0	2016-02-10 17:40:35	UROLOGY	80	0.00		0		NULL	NULL	0.208916
NULL	0830-9000	CAN J VET RES	CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETER	2014	Sci	ZC	ISI	NULL	NULL	NULL	NULL	NULL	0.00126905	0.366696	0.333004	0.340357	252	NULL	240	NULL	0	2016-02-10 17:40:35	VETERINARY	38	185.00	Canada	1937	Canadian-Veterinary-Medical-Association	NULL	NULL	0.142134
NULL	0008-4301	CAN J ZOOL	CANADIAN JOURNAL OF ZOOLOGY	2014	Sci	ZM	ISI	NULL	NULL	NULL	NULL	NULL	0.00574681	0.728571	0.579065	0.5625	952	NULL	625	NULL	0	2016-02-10 17:40:35	ECOLOGY AND EVOLUTION	6	1285.00	Canada	1929	Canadian Science Publishing (NRC Research Press)	NULL	NULL	0.643642
NULL	0008-4395	CAN MATH BULL	CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES	2014	Sci	PQ	ISI	NULL	NULL	NULL	NULL	NULL	0.00301803	0.584643	0.487348	0.487411	144	NULL	390	NULL	0	2016-02-10 17:40:35	MATHEMATICS	8	410.00	Canada	1958	Canadian-Mathematical-Society	NULL	NULL	0.338019
NULL	0820-3946	CAN MED ASSOC J	CANADIAN MEDICAL ASSOCIATION JOURNAL	2014	Sci	PY	ISI	NULL	NULL	NULL	NULL	NULL	0.0232588	0.926429	2.67781	0.961786	3648	NULL	547	NULL	0	2016-02-10 17:40:35	MEDICINE	2	675.00	Canada	0	Canadian-Medical-Association	NULL	NULL	2.60498
NULL	0008-4433	CAN METALL QUART	CANADIAN METALLURGICAL QUARTERLY	2014	Sci	PZ	ISI	NULL	NULL	NULL	NULL	NULL	0.000742278	0.238304	0.17707	0.168393	129	NULL	264	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	675.00	Canada	1977	Canadian-Institute-of-Mining,-Metallurgy-and-Petroleum-	NULL	NULL	0.0831351
NULL	0008-4476	CAN MINERAL	CANADIAN MINERALOGIST	2014	Sci	RE	ISI	NULL	NULL	NULL	NULL	NULL	0.00357968	0.622946	0.486905	0.487143	540	NULL	463	NULL	0	2016-02-10 17:40:35	NULL	0	460.00	Canada	1921	Mineralogical-Association-of-Canada	NULL	NULL	0.400924
NULL	0008-4506	CAN MOD LANG REV	CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES	2014	SS	A9	ISI	NULL	NULL	NULL	NULL	NULL	0.000569488	0.187411	0.355095	0.365893	71	NULL	101	NULL	0	2016-02-10 17:40:35	LINGUISTICS	97	105.00	Canada	1944	University-of-Toronto-Press-	NULL	NULL	0.0637827
NULL	0708-5591	CAN PSYCHOL	CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE	2014	SS	VJ	ISI	NULL	NULL	NULL	NULL	NULL	0.000975439	0.302679	0.441943	0.447054	159	NULL	139	NULL	0	2016-02-10 17:40:35	PSYCHOLOGY	4	326.00	Canada	1959	Canadian-Psychological-Association	NULL	NULL	0.109249
NULL	0008-4840	CAN PUBLIC ADMIN	CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA	2014	SS	VM	ISI	NULL	NULL	NULL	NULL	NULL	0.000417331	0.139643	0.193251	0.18625	54	NULL	136	NULL	0	2016-02-10 17:40:35	POLITICAL SCIENCE	15	331.00	Canada	1958	Institute-of-Public-Administration-of-Canada	NULL	NULL	0.0467411
NULL	0317-0861	CAN PUBLIC POL	CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES	2014	SS	VM	ISI	NULL	NULL	NULL	NULL	NULL	0.000754933	0.2425	0.314856	0.320357	82	NULL	151	NULL	0	2016-02-10 17:40:35	ECONOMICS	5	190.00	Canada	1975	University-of-Toronto-Press-	NULL	NULL	0.0845525
NULL	1198-2241	CAN RESPIR J	Canadian Respiratory Journal	2014	Sci	WE	ISI	NULL	NULL	NULL	NULL	NULL	0.00197266	0.479554	0.535482	0.527054	346	NULL	232	NULL	0	2016-02-10 17:40:35	MEDICINE	2	0.00		0		NULL	NULL	0.220938
NULL	1755-6171	CAN REV SOCIOL	Canadian Review of Sociology-Revue Canadienne de Sociologie	2014	SS	XA	ISI	NULL	NULL	NULL	NULL	NULL	0.000313483	0.103393	0.216947	0.213839	40	NULL	91	NULL	0	2016-02-10 17:40:35	SOCIOLOGY	19	250.00		0		NULL	NULL	0.0351101
NULL	0380-1489	CAN STUD POPUL	Canadian Studies in Population	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.000137297	0.0417857	0.105445	0.0915179	17	NULL	82	NULL	0	2016-02-10 17:40:35	SOCIOLOGY	19	0.00		0		NULL	NULL	0.0153773
NULL	0008-5286	CAN VET J	CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE	2014	Sci	ZC	ISI	NULL	NULL	NULL	NULL	NULL	0.00266138	0.553929	0.266464	0.269732	502	NULL	629	NULL	0	2016-02-10 17:40:35	VETERINARY	38	185.00	Canada	1960	Canadian-Veterinary-Medical-Association	NULL	NULL	0.298075
NULL	0701-1784	CAN WATER RESOUR J	Canadian Water Resources Journal	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.000834379	0.265804	0.420373	0.425446	145	NULL	125	NULL	0	2016-02-10 17:40:35	NULL	0	0.00		0		NULL	NULL	0.0934504
NULL	1538-4047	CANCER BIOL THER	CANCER BIOLOGY & THERAPY	2014	Sci	DM	ISI	NULL	NULL	NULL	NULL	NULL	0.0165088	0.8925	1.00355	0.791964	3643	NULL	1036	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	608.00	United-States	2002	Landes-Bioscience	NULL	NULL	1.84899
NULL	1574-0153	CANCER BIOMARK	Cancer Biomarkers	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00195583	0.476429	0.427681	0.433393	514	NULL	288	NULL	0	2016-02-10 17:40:35	ONCOLOGY	13	0.00		0		NULL	NULL	0.219053
NULL	1084-9785	CANCER BIOTHER RADIO	CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS	2014	Sci	DM QA TU VY	ISI	NULL	NULL	NULL	NULL	NULL	0.00316619	0.595982	0.446078	0.450625	772	NULL	447	NULL	0	2016-02-10 17:40:35	ONCOLOGY	13	1348.00	United-States	1996	Mary-Ann-Liebert,-Inc--Publishers	NULL	NULL	0.354613
NULL	0957-5243	CANCER CAUSE CONTROL	CANCER CAUSES & CONTROL	2014	Sci	DM NE	ISI	NULL	NULL	NULL	NULL	NULL	0.0176962	0.901339	1.06953	0.815625	3044	NULL	1042	NULL	0	2016-02-10 17:40:35	ONCOLOGY	13	2516.00	Netherlands	1990	Springer-Verlag-Dordrecht	NULL	NULL	1.98197
NULL	1535-6108	CANCER CELL	CANCER CELL	2014	Sci	DM	ISI	NULL	NULL	NULL	NULL	NULL	0.106801	0.990357	13.2402	0.997054	13427	NULL	508	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	1146.00	United-States	2002	Cell-Press	NULL	NULL	11.9617
NULL	1475-2867	CANCER CELL INT	Cancer Cell International	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00268438	0.555714	0.589037	0.569732	751	NULL	287	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	0.00		0		NULL	NULL	0.30065
NULL	0344-5704	CANCER CHEMOTH PHARM	CANCER CHEMOTHERAPY AND PHARMACOLOGY	2014	Sci	DM TU	ISI	NULL	NULL	NULL	NULL	NULL	0.0159195	0.888304	0.67924	0.633304	3725	NULL	1476	NULL	0	2016-02-10 17:40:35	ONCOLOGY	13	5636.00	Germany	1978	Springer-Verlag	NULL	NULL	1.78298
NULL	1073-2748	CANCER CONTROL	Cancer Control	2014	NULL	DM	ISI	NULL	NULL	NULL	NULL	NULL	0.00249899	0.538571	1.03539	0.803304	483	NULL	152	NULL	0	2016-02-10 17:40:35	ONCOLOGY	13	NULL	NULL	NULL	NULL	NULL	NULL	0.279887
NULL	1934-662X	CANCER CYTOPATHOL	CANCER CYTOPATHOLOGY	2014	Sci	DM TM	ISI	NULL	NULL	NULL	NULL	NULL	0.00345168	0.614911	0.88725	0.75	700	NULL	245	NULL	0	2016-02-10 17:40:35	ONCOLOGY	13	0.00		0		NULL	NULL	0.386589
NULL	2159-8274	CANCER DISCOV	Cancer Discovery	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.0314558	0.947679	9.85566	0.995268	3959	NULL	201	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	0.00		0		NULL	NULL	3.52305
NULL	1055-9965	CANCER EPIDEM BIOMAR	CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION	2014	Sci	DM NE	ISI	NULL	NULL	NULL	NULL	NULL	0.0445031	0.96625	1.69346	0.918661	7137	NULL	1655	NULL	0	2016-02-10 17:40:35	ONCOLOGY	13	325.00	United-States	1991	American-Association-for-Cancer-Research	NULL	NULL	4.98435
NULL	1877-7821	CANCER EPIDEMIOL	Cancer Epidemiology	2014	Sci	DM	ISI	NULL	NULL	NULL	NULL	NULL	0.00696221	0.765714	0.721148	0.662232	1470	NULL	608	NULL	0	2016-02-10 17:40:35	ONCOLOGY	13	0.00		0		NULL	NULL	0.779768
NULL	0929-1903	CANCER GENE THER	CANCER GENE THERAPY	2014	Sci	DB DM KM QA	ISI	NULL	NULL	NULL	NULL	NULL	0.0045972	0.682321	0.615995	0.589732	1038	NULL	470	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	2240.00	United-Kingdom	1994	Nature-Publishing-Group	NULL	NULL	0.514887
NULL	2210-7762	CANCER GENET-NY	Cancer Genetics	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.0031169	0.592411	0.971747	0.781071	570	NULL	202	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	0.00		0		NULL	NULL	0.349093
NULL	1109-6535	CANCER GENOM PROTEOM	Cancer Genomics & Proteomics	2014	NULL	DM	ISI	NULL	NULL	NULL	NULL	NULL	0.00160484	0.425	1.13559	0.833661	371	NULL	89	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	NULL	NULL	NULL	NULL	NULL	NULL	0.179742
